a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240116.2-1
acl 2.3.2-1
adapta-gtk-theme 3.95.0.11-2
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
alsa-card-profiles 1:1.0.6-1
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
alsa-utils 1.2.11-1
amd-ucode 20240510.b9d2bf23-1
aom 3.9.0-1
appstream 1.0.3-1
arch-install-scripts 28-1
archinstall 2.8.0-2
archlinux-keyring 20240429-1
argon2 20190702-5
aria2 1.37.0-1
aribb24 1.0.3-3
asciinema 2.4.0-3
asciiquarium 1.1-6
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.2.0-1
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
baloo 6.2.0-1
baloo-widgets 24.02.2-1
banner 1.3.2-10
base 3-2
base-devel 1-1
bash 5.2.026-2
bc
binutils 2.42+r91+g6224493e457-1
bison 3.8.2-6
bluez-libs 5.76-1
boost-libs 1.83.0-7
brasero 3.12.3+r24+gd01ba738-1
brightnessctl 0.5.1-2
brotli 1.1.0-2
btrfs-progs 6.8.1-1
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.28.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.100-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cdrdao 1.2.5-2
cdrtools 3.02a09-5
cifs-utils 7.0-3
cmake 3.29.3-1
cmatrix 2.0-3
colord 1.4.7-2
colord-sane 1.4.7-2
convertlit 1.8-11
coreutils 9.5-1
cowsay 3.04-5
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.7.2-1
cups 1:2.4.8-1
cups-filters 2.0.0-1
cups-pdf 3.0.1-7
curl 8.7.1-6
dav1d 1.4.1-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dconf 0.40.0-2
debugedit 5.0-6
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
diffutils 3.10-1
djvulibre 3.5.28-6
dolphin 24.02.2-2
dosfstools 4.2-3
double-conversion 3.3.0-1
duktape 2.7.0-6
dunst 1.11.0-1
dvd+rw-tools 7.1-9
e2fsprogs 1.47.0-2
ebook-tools 0.2.2-7
efibootmgr 18-3
efivar 39-1
ell 0.65-1
enchant 2.7.3-1
eog 45.3-1
evince 46.1-1
exempi 2.6.5-1
exfatprogs 1.2.2-1
exiv2 0.28.2-4
expat 2.6.2-1
f2fs-tools 1.16.0-2
faad2 2.11.1-1
fakeroot 1.34-1
fcitx5 5.1.9-1
fcitx5-configtool 5.1.5-1
fcitx5-gtk 5.1.3-1
fcitx5-mozc 2.26.4632.102.g4d2e3bd-2
fcitx5-qt 5.1.6-1
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
fftw 3.3.10-7
figlet 2.2.5-5
file 5.45-1
filesystem 2024.04.07-1
findutils 4.9.0-3
firefox 126.0-1
flac 1.4.3-1
flex 2.6.4-5
fmt 10.2.0-1
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.14-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 14.1.1+r1+g43b730b9134-1
gcc-libs 14.1.1+r1+g43b730b9134-1
gcr-4 4.2.1-2
gd 2.3.3-7
gdb 14.2-2
gdb-common 14.2-2
gdbm 1.23-2
gdk-pixbuf2 2.42.12-1
gedit 47.0-1
geoclue 2.7.1-3
gettext 0.22.5-1
ghostscript 10.03.0-2
giflib 5.2.2-1
git 2.45.1-1
glib-networking 1:2.80.0-1
glib2 2.80.2-2
glibc 2.39+r52+gf8e4623421-1
glibmm 2.66.7-1
glslang 14.1.0-1
glu 9.0.3-1
gmp 6.3.0-2
gmtp 1.3.11-3
gnome-desktop 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-disk-utility 46.0-1
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnutls 3.8.5-1
gobject-introspection-runtime 1.80.1-3
gperftools 2.15-1
gpgme 1.23.2-4
gpm 1.20.7.r38.ge82d1a6-5
graphene 1.10.8-1
graphite 1:1.3.14-3
grep 3.11-1
grim 1.4.1-1
groff 1.23.0-5
gsettings-desktop-schemas 46.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.2-2
gssdp 1.6.3-1
gst-plugin-pipewire 1:1.0.6-1
gst-plugins-bad-libs 1.24.3-1
gst-plugins-base-libs 1.24.3-1
gst-plugins-good 1.24.3-1
gst-plugins-ugly 1.24.3-1
gst-python 1.24.3-1
gstreamer 1.24.3-1
gtk-layer-shell 0.8.2-1
gtk-update-icon-cache 1:4.14.4-1
gtk2 2.24.33-3
gtk3 1:3.24.42-1
gtk4 1:4.14.4-1
gtkmm3 3.24.9-1
guile 3.0.9-1
gum 0.14.0-1
gupnp 1:1.6.6-1
gupnp-igd 1.6.0-1
gvfs 1.54.0-3
gvfs-afc 1.54.0-3
gvfs-gphoto2 1.54.0-3
gvfs-mtp 1.54.0-3
gvfs-smb 1.54.0-3
gvfs-wsdd 1.54.0-3
gzip 1.13-2
harfbuzz 8.4.0-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highway 1.1.0-1
htop 3.3.0-3
httpie 3.2.2-2
hwdata 0.382-1
hyprcursor 0.1.8-1
hyprland 0.40.0-1
hyprlang 0.5.1-1
iana-etc 20240412-1
icu 74.2-2
ifuse 1.1.4-4
ijs 0.35-6
imagemagick 7.1.1.32-1
imath 3.1.11-2
imlib2 1.12.2-2
iniparser 4.2-1
